Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/2020,36,13,0,0,5
1/2/2020,37,31,0,0,5
1/3/2020,36,24,T,T,4
1/4/2020,30,24,0,0,4
1/5/2020,38,24,0.01,T,4
1/6/2020,36,22,0,0,3
1/7/2020,32,5,0,0,3
1/8/2020,17,1,0,0,3
1/9/2020,36,17,0,0,3
1/10/2020,24,8,T,T,3
1/11/2020,16,-1,0,0,3
1/12/2020,20,9,0.11,0.8,3
1/13/2020,28,15,0.1,1,4
1/14/2020,32,17,0.01,0,5
1/15/2020,24,-2,0.01,T,5
1/16/2020,6,-9,0,0,5
1/17/2020,25,-1,0.35,4.7,5
1/18/2020,26,0,0.06,0.2,9
1/19/2020,12,0,0.01,0.5,8
1/20/2020,18,2,0.03,0.4,8
1/21/2020,20,-2,0,0,8
1/22/2020,37,19,0.17,0.6,8
1/23/2020,33,30,0.06,1,8
1/24/2020,32,29,T,T,8
1/25/2020,33,27,T,T,7
1/26/2020,30,25,0,0,7
1/27/2020,27,21,T,0,7
1/28/2020,22,18,T,T,7
1/29/2020,22,18,T,T,7
1/30/2020,27,18,T,T,7
1/31/2020,34,27,0.05,0.6,7
2/1/2020,38,27,0,0,7
2/2/2020,46,31,0,0,6
2/3/2020,32,20,0,0,5
2/4/2020,24,10,0,0,5
2/5/2020,30,11,0,0,5
2/6/2020,32,11,0,T,5
2/7/2020,30,13,0.03,0.5,5
2/8/2020,20,-3,0,0,5
2/9/2020,27,9,0.38,4.8,6
2/10/2020,30,7,0.01,0.2,10
2/11/2020,30,21,T,T,10
2/12/2020,35,0,T,T,10
2/13/2020,1,-11,0,0,9
2/14/2020,15,-12,0,0,9
2/15/2020,36,15,0,0,8
2/16/2020,24,14,0,0,8
2/17/2020,35,22,0.16,2,8
2/18/2020,26,5,0,0,9
2/19/2020,14,0,0,0,9
2/20/2020,14,-6,0,0,9
2/21/2020,37,12,0,0,8
2/22/2020,42,18,0,0,8
2/23/2020,44,27,0,0,7
2/24/2020,42,23,0,0,5
2/25/2020,38,28,0,0,4
2/26/2020,31,19,T,T,4
2/27/2020,25,15,0,0,4
2/28/2020,28,17,0,0,4
2/29/2020,39,16,0,0,4
3/1/2020,50,32,T,T,4
3/2/2020,36,30,0,0,3
3/3/2020,43,30,T,T,1
3/4/2020,42,24,T,0,T
3/5/2020,44,30,T,T,T
3/6/2020,39,23,0,0,T
3/7/2020,53,32,0,0,T
3/8/2020,61,44,0,0,T
3/9/2020,48,30,0,0,0
3/10/2020,42,23,0.04,0.3,0
3/11/2020,43,34,0,0,T
3/12/2020,43,31,0.09,T,0
3/13/2020,39,26,0,0,0
3/14/2020,35,23,0,0,0
3/15/2020,40,21,0,0,0
3/16/2020,39,27,0.01,T,0
3/17/2020,44,28,T,0,0
3/18/2020,45,37,T,0,0
3/19/2020,40,32,0.48,0,0
3/20/2020,34,20,T,T,0
3/21/2020,36,20,T,T,0
3/22/2020,43,30,0.04,0.2,T
3/23/2020,44,32,0.12,0.8,1
3/24/2020,50,37,0,0,0
3/25/2020,47,37,0.31,0,0
3/26/2020,51,29,0,0,0
3/27/2020,60,37,0.03,0,0
3/28/2020,48,38,1.07,0,0
3/29/2020,49,33,0.22,T,T
3/30/2020,60,30,0,0,0
3/31/2020,54,34,0,0,0
4/1/2020,55,34,0,0,0
4/2/2020,61,40,0.07,0,0
4/3/2020,40,25,0.08,T,0
4/4/2020,45,19,0,0,0
4/5/2020,56,29,0,0,0
4/6/2020,60,43,0,0,0
4/7/2020,70,49,0.03,0,0
4/8/2020,56,36,T,0,0
4/9/2020,42,30,0.03,T,0
4/10/2020,49,27,0,0,0
4/11/2020,61,34,0,0,0
4/12/2020,44,29,0.6,6.6,T
4/13/2020,37,23,0.01,0.2,5
4/14/2020,30,21,0.04,0.5,2
4/15/2020,35,19,0,0,T
4/16/2020,48,24,0,0,T
4/17/2020,49,29,0,0,0
4/18/2020,67,39,0,0,0
4/19/2020,50,36,0,0,0
4/20/2020,60,36,T,0,0
4/21/2020,50,29,T,0,0
4/22/2020,67,43,T,0,0
4/23/2020,59,37,T,0,0
4/24/2020,66,43,T,0,0
4/25/2020,71,42,0,0,0
4/26/2020,68,45,0.07,0,0
4/27/2020,74,52,0.04,0,0
4/28/2020,62,46,0.83,0,0
4/29/2020,62,42,0,0,0
4/30/2020,68,44,0,0,0
5/1/2020,78,53,T,0,0
5/2/2020,75,54,0,0,0
5/3/2020,67,46,0,0,0
5/4/2020,60,40,0,0,0
5/5/2020,59,47,0,0,0
5/6/2020,66,48,0,0,0
5/7/2020,60,44,0,0,0
5/8/2020,49,35,0,0,0
5/9/2020,60,34,0.15,0,0
5/10/2020,48,38,T,0,0
5/11/2020,55,39,0,0,0
5/12/2020,58,34,0,0,0
5/13/2020,63,48,0.04,0,0
5/14/2020,73,52,0.04,0,0
5/15/2020,71,45,0,0,0
5/16/2020,63,52,0.46,0,0
5/17/2020,53,49,2.47,0,0
5/18/2020,66,50,T,0,0
5/19/2020,71,54,0,0,0
5/20/2020,77,59,0,0,0
5/21/2020,66,57,0,0,0
5/22/2020,66,58,0,0,0
5/23/2020,71,60,0.24,0,0
5/24/2020,78,58,T,0,0
5/25/2020,78,65,0.16,0,0
5/26/2020,81,66,0.87,0,0
5/27/2020,78,63,0.42,0,0
5/28/2020,79,60,0,0,0
5/29/2020,66,54,0,0,0
5/30/2020,68,49,0,0,0
5/31/2020,77,47,0,0,0
6/1/2020,91,63,0,0,0
6/2/2020,90,65,0.26,0,0
6/3/2020,83,63,0,0,0
6/4/2020,86,62,0.04,0,0
6/5/2020,81,60,0.32,0,0
6/6/2020,77,60,0.88,0,0
6/7/2020,85,62,0,0,0
6/8/2020,96,74,0,0,0
6/9/2020,83,68,0.16,0,0
6/10/2020,72,59,0,0,0
6/11/2020,79,57,0,0,0
6/12/2020,76,58,0,0,0
6/13/2020,71,53,0,0,0
6/14/2020,78,55,0,0,0
6/15/2020,88,62,0,0,0
6/16/2020,91,67,0,0,0
6/17/2020,90,65,0,0,0
6/18/2020,86,68,1.37,0,0
6/19/2020,77,63,0.04,0,0
6/20/2020,75,63,0.01,0,0
6/21/2020,84,62,0.33,0,0
6/22/2020,76,61,0,0,0
6/23/2020,77,59,T,0,0
6/24/2020,80,58,0.03,0,0
6/25/2020,85,59,0,0,0
6/26/2020,87,69,T,0,0
6/27/2020,86,65,0,0,0
6/28/2020,86,67,0.89,0,0
6/29/2020,82,66,2.37,0,0
6/30/2020,88,70,0.02,0,0
7/1/2020,88,73,0,0,0
7/2/2020,89,74,0,0,0
7/3/2020,90,69,0,0,0
7/4/2020,90,71,0,0,0
7/5/2020,92,75,T,0,0
7/6/2020,86,73,0.35,0,0
7/7/2020,88,71,0.08,0,0
7/8/2020,93,73,T,0,0
7/9/2020,82,71,0.33,0,0
7/10/2020,85,66,0,0,0
7/11/2020,84,65,0.46,0,0
7/12/2020,85,64,0,0,0
7/13/2020,85,66,0,0,0
7/14/2020,79,62,0.24,0,0
7/15/2020,80,59,0,0,0
7/16/2020,84,63,0,0,0
7/17/2020,90,71,0,0,0
7/18/2020,91,68,0.51,0,0
7/19/2020,83,68,0,0,0
7/20/2020,83,65,0,0,0
7/21/2020,82,62,0.36,0,0
7/22/2020,69,57,0,0,0
7/23/2020,80,59,0,0,0
7/24/2020,92,69,0,0,0
7/25/2020,88,71,0.24,0,0
7/26/2020,86,68,0.45,0,0
7/27/2020,84,64,0,0,0
7/28/2020,85,67,0.17,0,0
7/29/2020,84,63,0,0,0
7/30/2020,82,63,0,0,0
7/31/2020,84,60,0,0,0
8/1/2020,82,65,0.15,0,0
8/2/2020,73,60,0,0,0
8/3/2020,74,57,0,0,0
8/4/2020,79,54,0,0,0
8/5/2020,78,60,0,0,0
8/6/2020,79,61,0,0,0
8/7/2020,83,66,T,0,0
8/8/2020,83,69,0.01,0,0
8/9/2020,87,68,0.54,0,0
8/10/2020,79,64,1.27,T,0
8/11/2020,84,60,0,0,0
8/12/2020,74,63,0.45,0,0
8/13/2020,88,68,0,0,0
8/14/2020,85,61,0.49,0,0
8/15/2020,78,57,0,0,0
8/16/2020,84,63,0.03,0,0
8/17/2020,78,63,T,0,0
8/18/2020,81,58,0,0,0
8/19/2020,83,62,T,0,0
8/20/2020,83,68,0,0,0
8/21/2020,87,68,0.08,0,0
8/22/2020,84,66,0.1,0,0
8/23/2020,91,70,0,0,0
8/24/2020,89,71,0.03,0,0
8/25/2020,90,72,0,0,0
8/26/2020,92,76,0.01,0,0
8/27/2020,88,72,0,0,0
8/28/2020,82,65,0.39,0,0
8/29/2020,77,59,0,0,0
8/30/2020,78,59,T,0,0
8/31/2020,74,59,0.43,0,0
9/1/2020,71,58,0,0,0
9/2/2020,82,57,0,0,0
9/3/2020,76,55,T,0,0
9/4/2020,74,52,0,0,0
9/5/2020,78,54,0,0,0
9/6/2020,83,61,0.18,0,0
9/7/2020,64,50,0.25,0,0
9/8/2020,52,45,0,0,0
9/9/2020,50,41,0.14,0,0
9/10/2020,60,38,0,0,0
9/11/2020,59,44,0.07,0,0
9/12/2020,64,55,0.03,0,0
9/13/2020,73,52,0,0,0
9/14/2020,79,56,0,0,0
9/15/2020,81,65,0,0,0
9/16/2020,71,52,0,0,0
9/17/2020,58,43,0,0,0
9/18/2020,62,42,0,0,0
9/19/2020,71,45,0,0,0
9/20/2020,74,52,T,0,0
9/21/2020,77,58,0.05,0,0
9/22/2020,83,60,0,0,0
9/23/2020,84,60,T,0,0
9/24/2020,76,60,0.05,0,0
9/25/2020,85,59,0,0,0
9/26/2020,70,57,0.01,0,0
9/27/2020,67,52,0.03,0,0
9/28/2020,58,49,0.02,0,0
9/29/2020,64,48,0,0,0
9/30/2020,64,47,0.05,0,0
10/1/2020,56,43,0.02,0,0
10/2/2020,51,38,0,0,0
10/3/2020,52,39,0,0,0
10/4/2020,56,32,0,0,0
10/5/2020,70,46,0,0,0
10/6/2020,80,48,T,0,0
10/7/2020,71,51,0,0,0
10/8/2020,68,44,0,0,0
10/9/2020,80,56,0,0,0
10/10/2020,66,50,0,0,0
10/11/2020,69,48,0.52,0,0
10/12/2020,64,50,0.72,0,0
10/13/2020,63,51,0,0,0
10/14/2020,62,42,0.03,0,0
10/15/2020,50,33,T,0,0
10/16/2020,45,33,0.03,0.2,0
10/17/2020,53,35,0.04,0,0
10/18/2020,36,29,0,0,0
10/19/2020,34,27,0.05,T,0
10/20/2020,33,29,0.79,7.9,0
10/21/2020,36,31,T,0,7
10/22/2020,35,32,0.09,T,5
10/23/2020,36,24,0.06,0.8,2
10/24/2020,32,24,0,0,T
10/25/2020,29,25,0.05,0.4,T
10/26/2020,32,20,0,0,T
10/27/2020,34,16,0,0,T
10/28/2020,50,30,0,0,T
10/29/2020,38,31,0,0,0
10/30/2020,45,30,0,0,0
10/31/2020,55,33,T,T,0
11/1/2020,39,26,T,T,0
11/2/2020,58,27,0,0,0
11/3/2020,75,33,0,0,0
11/4/2020,74,43,0,0,0
11/5/2020,66,42,0,0,0
11/6/2020,75,49,0,0,0
11/7/2020,74,60,0,0,0
11/8/2020,72,54,0,0,0
11/9/2020,66,32,0.32,0,0
11/10/2020,32,27,0.62,5.5,0
11/11/2020,37,21,T,T,6
11/12/2020,31,22,0.16,2.8,4
11/13/2020,35,13,0,0,6
11/14/2020,37,29,0.11,0,5
11/15/2020,36,24,0.01,T,3
11/16/2020,41,24,T,T,1
11/17/2020,34,19,0,0,T
11/18/2020,53,30,0,0,T
11/19/2020,54,39,0,0,0
11/20/2020,42,26,T,0,0
11/21/2020,39,22,0,0,0
11/22/2020,41,29,0.06,0.5,1
11/23/2020,36,23,0,0,0
11/24/2020,36,32,0.01,0,0
11/25/2020,36,34,0,0,0
11/26/2020,36,28,0,0,0
11/27/2020,37,27,0,0,0
11/28/2020,50,32,0,0,0
11/29/2020,40,22,0,0,0
11/30/2020,29,17,0,0,0
12/1/2020,37,16,0,0,0
12/2/2020,43,19,0,0,0
12/3/2020,41,26,0,0,0
12/4/2020,43,23,0,0,0
12/5/2020,40,19,0.01,0.2,0
12/6/2020,35,31,0,0,T
12/7/2020,34,30,0,0,0
12/8/2020,39,29,0,0,0
12/9/2020,52,27,0,0,0
12/10/2020,48,32,0,0,0
12/11/2020,38,28,0,0,0
12/12/2020,32,26,0,0,0
12/13/2020,27,19,0.03,0.4,0
12/14/2020,21,10,T,T,T
12/15/2020,25,11,0,0,T
12/16/2020,29,15,0,0,T
12/17/2020,30,19,0,0,T
12/18/2020,42,26,0.02,T,T
12/19/2020,34,20,0,0,0
12/20/2020,38,20,T,T,0
12/21/2020,39,22,0,0,0
12/22/2020,44,21,0,0,0
12/23/2020,46,7,0.48,8.7,0
12/24/2020,7,-3,T,0.1,8
12/25/2020,17,-5,0,0,8
12/26/2020,23,10,0,0,8
12/27/2020,24,14,0.02,0.6,7
12/28/2020,24,7,0,0,8
12/29/2020,22,3,0.19,2.4,8
12/30/2020,24,14,0.01,T,9
12/31/2020,23,9,0,0,9
1/1/2021,23,12,0,0,9
1/2/2021,26,10,0,0,9
1/3/2021,36,12,0,0,8
1/4/2021,38,19,0.01,T,8
1/5/2021,34,16,0,0,8
1/6/2021,33,24,0,0,8
1/7/2021,25,21,0,0,8
1/8/2021,23,15,0,0,8
1/9/2021,18,12,T,T,8
1/10/2021,29,18,0,0,7
1/11/2021,36,22,0,0,7
1/12/2021,38,19,0,0,7
1/13/2021,39,26,0,0,7
1/14/2021,35,30,0.27,2,7
1/15/2021,35,33,0.2,0.9,9
1/16/2021,33,23,T,T,7
1/17/2021,23,19,T,T,7
1/18/2021,23,19,T,T,6
1/19/2021,21,3,0.03,0.5,6
1/20/2021,37,2,0,0,6
1/21/2021,34,8,0,0,6
1/22/2021,15,1,0,0,6
1/23/2021,20,9,0.32,4.1,6
1/24/2021,29,15,0.03,0.3,10
1/25/2021,23,11,0,0,10
1/26/2021,21,10,T,T,9
1/27/2021,15,9,0,0,9
1/28/2021,21,9,0,0,9
1/29/2021,24,17,0,0,8
1/30/2021,33,24,T,T,8
1/31/2021,33,28,0.01,T,7
2/1/2021,29,22,T,T,7
2/2/2021,24,18,T,T,7
2/3/2021,34,16,T,0,7
2/4/2021,33,7,0.19,2.1,7
2/5/2021,11,2,0,0,8
2/6/2021,3,-12,0,0,8
2/7/2021,-3,-16,0.01,0.1,8
2/8/2021,1,-10,T,T,8
2/9/2021,8,-8,0.02,0.2,8
2/10/2021,8,-6,0,0,8
2/11/2021,1,-10,0.01,0.2,7
2/12/2021,-4,-13,0.01,0.2,7
2/13/2021,-3,-12,0,0,7
2/14/2021,-4,-19,0,0,7
2/15/2021,0,-17,0,0,7
2/16/2021,12,-15,0,0,7
2/17/2021,9,-3,0.05,0.6,7
2/18/2021,16,7,0.02,0.3,8
2/19/2021,19,2,0,0,8
2/20/2021,22,-2,0,0,8
2/21/2021,28,18,0.06,0.6,8
2/22/2021,41,25,0,0,8
2/23/2021,39,31,0,0,8
2/24/2021,38,28,0.01,0.1,7
2/25/2021,36,24,0,0,6
2/26/2021,41,25,0,0,6
2/27/2021,47,27,0,0,5
2/28/2021,38,20,0.14,1.5,4
3/1/2021,26,13,0.04,0.7,6
3/2/2021,47,17,0,0,5
3/3/2021,50,26,0,0,3
3/4/2021,46,29,0,0,1
3/5/2021,46,30,0,0,T
3/6/2021,48,25,0,0,T
3/7/2021,62,32,0,0,T
3/8/2021,58,32,0,0,T
3/9/2021,62,41,0,0,0
3/10/2021,50,36,0.69,T,0
3/11/2021,48,33,T,T,0
3/12/2021,45,26,0,0,0
3/13/2021,59,28,0,0,0
3/14/2021,48,34,0,0,0
3/15/2021,36,28,0.31,2.9,0
3/16/2021,35,29,0.01,T,3
3/17/2021,43,32,0.01,0.4,3
3/18/2021,53,31,0,0,T
3/19/2021,51,30,0,0,0
3/20/2021,57,32,0,0,0
3/21/2021,63,41,T,0,0
3/22/2021,59,35,T,0,0
3/23/2021,59,44,0.61,0,0
3/24/2021,45,39,0.94,0,0
3/25/2021,53,30,0,0,0
3/26/2021,48,28,0,0,0
3/27/2021,47,36,0.21,0,0
3/28/2021,45,32,0,0,0
3/29/2021,73,39,0,0,0
3/30/2021,55,29,0,0,0
3/31/2021,36,23,0,0,0
4/1/2021,44,20,0,0,0
4/2/2021,61,33,0,0,0
4/3/2021,71,39,0,0,0
4/4/2021,77,46,0,0,0
4/5/2021,85,47,0.2,0,0
4/6/2021,71,50,0.68,0,0
4/7/2021,74,51,0.21,0,0
4/8/2021,65,47,0.3,0,0
4/9/2021,53,44,0.12,0,0
4/10/2021,48,42,0,0,0
4/11/2021,55,42,0,0,0
4/12/2021,49,36,0.07,0,0
4/13/2021,37,31,0.04,0.3,0
4/14/2021,49,31,0.02,0.2,T
4/15/2021,52,38,T,0,0
4/16/2021,60,37,0,0,0
4/17/2021,61,36,0,0,0
4/18/2021,64,38,0.01,0,0
4/19/2021,40,31,T,T,0
4/20/2021,43,30,0,0,0
4/21/2021,43,29,T,T,0
4/22/2021,64,34,0,0,0
4/23/2021,52,44,0.09,0,0
4/24/2021,50,36,T,0,0
4/25/2021,46,33,T,T,0
4/26/2021,55,39,0.23,0,0
4/27/2021,54,41,0.53,0,0
4/28/2021,63,37,0,0,0
4/29/2021,67,43,0,0,0
4/30/2021,61,40,0,0,0
5/1/2021,87,54,0,0,0
5/2/2021,72,53,T,0,0
5/3/2021,68,49,0,0,0
5/4/2021,60,41,0,0,0
5/5/2021,55,39,0.07,0,0
5/6/2021,62,39,T,0,0
5/7/2021,58,39,0,0,0
5/8/2021,58,40,0,0,0
5/9/2021,63,40,0,0,0
5/10/2021,56,38,T,0,0
5/11/2021,63,36,0,0,0
5/12/2021,69,42,0,0,0
5/13/2021,71,48,0,0,0
5/14/2021,68,54,0.01,0,0
5/15/2021,75,51,0,0,0
5/16/2021,75,52,0,0,0
5/17/2021,79,53,0,0,0
5/18/2021,74,58,0.03,0,0
5/19/2021,77,62,0.75,0,0
5/20/2021,74,65,0.1,0,0
5/21/2021,81,63,0.59,0,0
5/22/2021,83,68,0,0,0
5/23/2021,80,66,T,0,0
5/24/2021,87,67,0.3,0,0
5/25/2021,86,63,0.43,0,0
5/26/2021,66,54,T,0,0
5/27/2021,56,41,0.98,0,0
5/28/2021,61,39,0.01,0,0
5/29/2021,65,42,0.01,0,0
5/30/2021,62,54,0,0,0
5/31/2021,78,52,0,0,0
6/1/2021,79,54,0,0,0
6/2/2021,84,60,T,0,0
6/3/2021,91,70,T,0,0
6/4/2021,97,73,0,0,0
6/5/2021,99,78,0,0,0
6/6/2021,93,76,0,0,0
6/7/2021,96,74,0,0,0
6/8/2021,96,77,0,0,0
6/9/2021,96,75,0.4,0,0
6/10/2021,97,75,0,0,0
6/11/2021,90,73,0,0,0
6/12/2021,87,66,0,0,0
6/13/2021,97,63,0,0,0
6/14/2021,88,61,0,0,0
6/15/2021,83,63,0,0,0
6/16/2021,89,63,0,0,0
6/17/2021,89,68,0,0,0
6/18/2021,91,63,0,0,0
6/19/2021,81,62,0,0,0
6/20/2021,74,61,0.7,0,0
6/21/2021,69,53,0,0,0
6/22/2021,76,51,0,0,0
6/23/2021,88,58,0,0,0
6/24/2021,90,71,0,0,0
6/25/2021,87,66,0,0,0
6/26/2021,76,68,0.14,0,0
6/27/2021,83,65,0.7,0,0
6/28/2021,84,64,0.12,0,0
6/29/2021,84,67,T,0,0
6/30/2021,88,66,0,0,0
7/1/2021,89,69,0,0,0
7/2/2021,86,61,0,0,0
7/3/2021,87,67,0,0,0
7/4/2021,94,74,0,0,0
7/5/2021,96,75,0,0,0
7/6/2021,82,59,0.43,0,0
7/7/2021,66,56,T,0,0
7/8/2021,73,54,0,0,0
7/9/2021,78,61,0,0,0
7/10/2021,81,64,0,0,0
7/11/2021,87,62,0,0,0
7/12/2021,83,62,0,0,0
7/13/2021,87,65,0,0,0
7/14/2021,75,64,0.22,0,0
7/15/2021,84,61,0,0,0
7/16/2021,86,63,0,0,0
7/17/2021,87,65,0,0,0
7/18/2021,88,66,0,0,0
7/19/2021,90,68,0,0,0
7/20/2021,90,69,0,0,0
7/21/2021,85,66,0,0,0
7/22/2021,85,70,0.06,0,0
7/23/2021,95,73,0,0,0
7/24/2021,93,73,0.02,0,0
7/25/2021,92,66,0,0,0
7/26/2021,90,70,0.06,0,0
7/27/2021,93,76,0,0,0
7/28/2021,93,71,0.08,0,0
7/29/2021,85,68,0,0,0
7/30/2021,80,65,0,0,0
7/31/2021,88,61,0,0,0
8/1/2021,81,62,0,0,0
8/2/2021,82,62,0,0,0
8/3/2021,86,63,0,0,0
8/4/2021,85,66,0,0,0
8/5/2021,83,69,0.39,0,0
8/6/2021,85,67,0,0,0
8/7/2021,73,67,0.87,0,0
8/8/2021,79,68,1.22,0,0
8/9/2021,86,67,0,0,0
8/10/2021,88,73,T,0,0
8/11/2021,84,68,T,0,0
8/12/2021,82,66,0.01,0,0
8/13/2021,80,59,0,0,0
8/14/2021,86,58,0,0,0
8/15/2021,85,65,0,0,0
8/16/2021,85,62,0,0,0
8/17/2021,88,64,0,0,0
8/18/2021,90,68,0,0,0
8/19/2021,90,70,0,0,0
8/20/2021,90,71,0.1,0,0
8/21/2021,75,59,0,0,0
8/22/2021,80,56,0.04,0,0
8/23/2021,91,65,0,0,0
8/24/2021,82,65,1.27,0,0
8/25/2021,84,67,0,0,0
8/26/2021,73,63,1.59,0,0
8/27/2021,76,68,0.58,0,0
8/28/2021,83,67,0.65,0,0
8/29/2021,81,66,0.16,0,0
8/30/2021,83,62,0,0,0
8/31/2021,79,63,0,0,0
9/1/2021,78,61,0,0,0
9/2/2021,69,61,0.14,0,0
9/3/2021,64,60,0.82,0,0
9/4/2021,78,61,0,0,0
9/5/2021,78,58,0,0,0
9/6/2021,81,56,0,0,0
9/7/2021,79,63,0,0,0
9/8/2021,75,59,T,0,0
9/9/2021,75,55,0,0,0
9/10/2021,82,57,0,0,0
9/11/2021,79,64,0,0,0
9/12/2021,72,56,0,0,0
9/13/2021,77,53,0.14,0,0
9/14/2021,72,58,0,0,0
9/15/2021,78,52,0,0,0
9/16/2021,88,66,0,0,0
9/17/2021,78,55,0.24,0,0
9/18/2021,78,50,0,0,0
9/19/2021,90,66,0,0,0
9/20/2021,76,56,0.1,0,0
9/21/2021,67,51,0,0,0
9/22/2021,71,46,0,0,0
9/23/2021,74,48,0,0,0
9/24/2021,61,49,0.04,0,0
9/25/2021,69,44,0,0,0
9/26/2021,82,50,0,0,0
9/27/2021,78,56,0,0,0
9/28/2021,82,56,0,0,0
9/29/2021,85,59,0,0,0
9/30/2021,82,63,0,0,0
10/1/2021,79,64,0.01,0,0
10/2/2021,73,64,0.26,0,0
10/3/2021,73,54,0,0,0
10/4/2021,73,51,0,0,0
10/5/2021,75,54,0,0,0
10/6/2021,75,56,0,0,0
10/7/2021,71,62,0,0,0
10/8/2021,73,63,T,0,0
10/9/2021,79,61,T,0,0
10/10/2021,71,53,T,0,0
10/11/2021,71,49,0,0,0
10/12/2021,65,57,0,0,0
10/13/2021,64,55,0.01,0,0
10/14/2021,56,46,0,0,0
10/15/2021,55,42,0.01,0,0
10/16/2021,64,38,0,0,0
10/17/2021,69,40,0,0,0
10/18/2021,79,46,0,0,0
10/19/2021,74,50,T,0,0
10/20/2021,60,48,0.68,0,0
10/21/2021,51,35,0.05,0,0
10/22/2021,50,33,0,0,0
10/23/2021,52,31,0,0,0
10/24/2021,49,38,0,0,0
10/25/2021,53,35,0,0,0
10/26/2021,57,39,0,0,0
10/27/2021,53,47,0.32,0,0
10/28/2021,49,46,0.54,0,0
10/29/2021,58,39,0,0,0
10/30/2021,59,35,0,0,0
10/31/2021,49,36,0,0,0
11/1/2021,44,32,0,0,0
11/2/2021,43,31,0,0,0
11/3/2021,46,32,0,0,0
11/4/2021,52,30,0,0,0
11/5/2021,60,38,0,0,0
11/6/2021,67,45,0,0,0
11/7/2021,62,44,0,0,0
11/8/2021,56,41,0,0,0
11/9/2021,56,31,0,0,0
11/10/2021,54,35,0.27,0,0
11/11/2021,44,35,0.41,T,0
11/12/2021,39,33,0.06,T,0
11/13/2021,34,30,0.08,1.2,0
11/14/2021,34,30,T,T,1
11/15/2021,36,28,0,0,T
11/16/2021,45,30,0,0,0
11/17/2021,42,31,T,T,0
11/18/2021,32,23,T,T,0
11/19/2021,42,20,0,0,0
11/20/2021,44,30,0,0,0
11/21/2021,38,19,0,0,0
11/22/2021,30,17,0,0,0
11/23/2021,54,25,0,0,0
11/24/2021,50,26,0,0,0
11/25/2021,26,14,T,T,0
11/26/2021,34,16,0,0,0
11/27/2021,41,27,0,0,0
11/28/2021,39,24,0,0,0
11/29/2021,52,32,0,0,0
11/30/2021,45,30,0.03,0,0
12/1/2021,51,35,0.13,T,0
12/2/2021,50,37,0.03,T,0
12/3/2021,43,31,0.02,0,0
12/4/2021,35,27,0.11,1,0
12/5/2021,38,28,0.01,0.1,1
12/6/2021,28,3,T,T,1
12/7/2021,16,5,0.1,1.4,1
12/8/2021,23,3,0,0,3
12/9/2021,40,23,0,0,3
12/10/2021,30,25,0.68,11,1
12/11/2021,30,22,0.04,0.8,12
12/12/2021,36,24,0,0,10
