city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Donaldson,Donaldson,MN,Minnesota,27069,Kittson,48.5749,-96.899,40,22,polygon,FALSE,TRUE,America/Chicago,3,56720,1840006584
Ronneby,Ronneby,MN,Minnesota,27009,Benton,45.6853,-93.8601,37,14,polygon,FALSE,FALSE,America/Chicago,3,56329,1840025296
Midway,Midway,MN,Minnesota,27087,Mahnomen,47.317,-95.7838,37,7,polygon,FALSE,TRUE,America/Chicago,3,56557,1840042944
Hillman,Hillman,MN,Minnesota,27097,Morrison,46.0063,-93.8887,37,22,polygon,FALSE,TRUE,America/Chicago,3,56338,1840006672
Baker,Baker,MN,Minnesota,27027,Clay,46.7105,-96.5579,37,14,polygon,FALSE,FALSE,America/Chicago,3,56580,1840023848
Florence,Florence,MN,Minnesota,27083,Lyon,44.2372,-96.0517,36,129,polygon,FALSE,TRUE,America/Chicago,3,56170,1840007876
Regal,Regal,MN,Minnesota,27067,Kandiyohi,45.4054,-94.8397,35,26,polygon,FALSE,TRUE,America/Chicago,3,56312,1840008911
Cobden,Cobden,MN,Minnesota,27015,Brown,44.2825,-94.8466,35,13,polygon,FALSE,TRUE,America/Chicago,3,56085,1840006790
Denham,Denham,MN,Minnesota,27115,Pine,46.3617,-92.9415,34,9,polygon,FALSE,TRUE,America/Chicago,3,55783 55795,1840006663
Beaulieu,Beaulieu,MN,Minnesota,27087,Mahnomen,47.3389,-95.8054,33,3,polygon,FALSE,FALSE,America/Chicago,3,56557,1840023820
Correll,Correll,MN,Minnesota,27011,Big Stone,45.232,-96.1627,32,32,polygon,FALSE,TRUE,America/Chicago,3,56227,1840006696
Johnson,Johnson,MN,Minnesota,27011,Big Stone,45.5722,-96.294,27,33,polygon,FALSE,TRUE,America/Chicago,3,56236 56221,1840007793
Roy Lake,Roy Lake,MN,Minnesota,27029,Clearwater,47.3176,-95.5428,23,19,polygon,FALSE,FALSE,America/Chicago,3,56557,1840023822
Barry,Barry,MN,Minnesota,27011,Big Stone,45.5582,-96.5604,15,22,polygon,FALSE,TRUE,America/Chicago,3,56210 56240,1840006697
Kinbrae,Kinbrae,MN,Minnesota,27105,Nobles,43.8265,-95.4823,12,5,polygon,FALSE,TRUE,America/Chicago,3,56131,1840007928
Funkley,Funkley,MN,Minnesota,27007,Beltrami,47.7869,-94.4267,8,4,polygon,FALSE,TRUE,America/Chicago,3,56630,1840007698
The Ranch,The Ranch,MN,Minnesota,27087,Mahnomen,47.3198,-95.6952,2,2,polygon,FALSE,TRUE,America/Chicago,3,56557,1840039629
