lake_id,center_utm_x,center_utm_y
"69022300",570301.40694952,5340755.26501355
"06017200",224104.22792535,5051935.51829974
"27043400",456817.03762449,4990454.32303701
"10014900",433949.40980022,4978941.52820149
"31033500",470789.42121244,5301103.66482738
"38010400",642063.1073965,5307369.73837122
"02018200",472421.44480671,5028362.73219041
"27079700",468130.58981733,4971495.68472016
"45001200",281948.52479229,5350746.59680505
"71036300",441715.88560982,5019624.8434062
"18031100",413296.32798378,5171508.91923115
"62022000",488250.47161934,4987984.69697687
"16014300",692834.34190731,5299886.50644383
"69000300",586333.97418504,5289101.38516168
"02004200",486561.63628213,5016999.23700452
"51004600",283992.30324904,4888645.60120897
"48002400",437938.13218104,5107180.43581129
"04011100",370415.43695441,5271013.26905105
"04038500",337348.6901749,5275168.29168265
"27068600",460910.05470952,4982302.36943918
"51017500",264657.89266365,4885717.24191737
"30019200",470524.27846172,5052991.71780196
"18070000",413249.57209851,5183860.57816495
"16062300",657779.98574842,5323086.45541625
"60018800",274754.498971,5282944.63514514
"62012700",498636.46598754,4989615.64631317
"38049800",622355.53934856,5321769.69465322
"27073600",463976.96818644,4979209.01977454
"04058500",325680.33960823,5345564.29192662
"19017100",480275.86117112,4959190.69832346
"49022300",389744.10537598,5102536.85599661
"31005600",488856.83939601,5266766.9395838
"45000100",286479.39088445,5374813.29553271
"27098300",461108.51244604,4968029.32290795
"49014300",435902.93136524,5111416.92142812
"38074300",594994.07373777,5227307.00697366
"38081100",593897.90181065,5311483.06037624
"51015900",264989.44749805,4886054.60187184
"11071500",396116.03326442,5177442.19577412
"02016000",487104.20882747,5026654.75847793
"26024600",261754.87365603,5084084.23271482
"18068200",416222.28741117,5153219.43500812
"03015900",306570.46753504,5222888.46019678
"34060800",346225.66926679,5025932.65747874
"09009300",519807.49232768,5141276.81274116
"18049300",432022.03139566,5137865.46940536
"06039700",230716.82582903,5032926.63961771
"06006600",244719.95257184,5025841.83989841
"11075400",407402.51189193,5196753.46964867
"29046800",351855.30217986,5211386.5929709
"27022800",467340.25147135,5002532.07149161
