,Name,ID,Nearest Town,County,,
170,Howard,16078900,Tofte,Cook,,
327,Red Rock,16079300,Tofte,Cook,,
225,Lone,16079500,Prairie Portage,Cook,,
440,Unnamed,16079600,Prairie Portage,Cook,,
341,Roy,16079700,Prairie Portage,Cook,,
150,Grandpa,16079800,Schroeder,Cook,,
206,Larry,16080100,Prairie Portage,Cook,,
113,Elbow,16080500,Sawbill Landing,Cook,,
114,Elbow (Main Basin),16080501,,Cook,,
134,Frear,16080600,Sawbill Landing,Cook,,
199,Knight,16080700,Tofte,Cook,,
304,Phoebe,16080800,Forest Center,Cook,,
218,Little Saganaga,16080900,Tofte,Cook,,
137,Gabimichigami,16081100,Tofte,Cook,,
195,Kingfisher,16081200,Prairie Portage,Cook,,
487,Zephyr,16081300,Prairie Portage,Cook,,
441,Unnamed,16081400,Covill,Cook,,
442,Unnamed,16081600,Hovland,Cook,,
443,Unnamed,16083700,Lutsen,Cook,,
444,Unnamed,16084000,Prairie Portage,Cook,,
238,Margaret,16089600,Hovland,Cook,,
463,Weasel,16089700,Grand Marais,Cook,,
445,Unnamed,16089900,Maple Hill,Cook,,
152,Granite Bay,16090000,Prairie Portage,Cook,,
395,Swamp River Reservoir,16090100,Hovland,Cook,,
446,Unnamed,16090300,Hovland,Cook,,
123,Feather,16090500,Tofte,Cook,,
140,Gasket,16090900,,Cook,,
186,Jump,16091000,,Cook,,
447,Unnamed,16091100,Grand Marais,Cook,,
448,Unnamed,16091200,,Cook,,
30,Unnamed,17000100,Mountain Lake,Cottonwood,,
18,Mountain,17000300,Mountain Lake,Cottonwood,,
5,Bingham,17000700,Bingham Lake,Cottonwood,,
7,Clear,17000800,Bingham Lake,Cottonwood,,
31,Unnamed,17001100,Bingham Lake,Cottonwood,,
29,Three,17001200,Windom,Cottonwood,,
37,Wolf,17001300,Windom,Cottonwood,,
2,Bartsh,17001600,Delft,Cottonwood,,
3,Bat,17001800,Delft,Cottonwood,,
15,Long,17001900,Mountain Lake,Cottonwood,,
12,Eagle,17002000,Mountain Lake,Cottonwood,,
35,Warren,17002101,Other,Cottonwood,,
36,Warren Pond,17002102,Windom,Cottonwood,,
8,Cottonwood,17002200,Windom,Cottonwood,,
26,Swan,17002300,Delft,Cottonwood,,
24,String,17002400,Wilder,Cottonwood,,
0,Arnold's,17002700,Delft,Cottonwood,,
32,Unnamed,17003000,Delft,Cottonwood,,
13,Harder,17003100,Delft,Cottonwood,,
1,Augusta,17003300,Storden,Cottonwood,,
33,Unnamed,17003600,,Cottonwood,,
14,Hurricane,17003700,Storden,Cottonwood,,
23,South Clear,17004100,Dundee,Cottonwood,,
19,North Oaks,17004400,Dundee,Cottonwood,,
16,Long,17004800,,Cottonwood,,
21,Round,17004801,Storden,Cottonwood,,
17,Long,17004802,Storden,Cottonwood,,
6,Carey,17004900,Storden,Cottonwood,,
4,Bean,17005400,Storden,Cottonwood,,
9,Double,17005600,Storden,Cottonwood,,
10,Double (North Portion),17005601,,Cottonwood,,
11,Double (South Portion),17005602,,Cottonwood,,
27,Talcot,17006000,Dundee,Cottonwood,,
34,Unnamed,17006600,Windom,Cottonwood,,
20,Oak Outlet,17007200,Dundee,Cottonwood,,
25,Summit,17007300,Windom,Cottonwood,,
28,Talcot Pond,17008300,,Cottonwood,,
22,Shoper-Bush Reservoir,17008500,Jeffers,Cottonwood,,
388,Whitefish,18000100,Garrison,Crow Wing,,
168,Long / Tame Fish,18000200,Deerwood (Crow Wing),Crow Wing,,
325,Unnamed,18000300,Garrison,Crow Wing,,
145,Kutil,18000700,Pine Center,Crow Wing,,
318,Twenty Two,18000800,Pine Center,Crow Wing,,
83,Erskine,18000900,Pine Center,Crow Wing,,
210,Mud,18001000,Pine Center,Crow Wing,,
11,Bass,18001100,Pine Center,Crow Wing,,
32,Bulldog,18001400,Pine Center,Crow Wing,,
270,Rock,18001600,Pine Center,Crow Wing,,
35,Camp,18001800,Pine Center,Crow Wing,,
141,Kenney,18001900,Garrison,Crow Wing,,
31,Borden,18002000,Garrison,Crow Wing,,
203,Miller,18002100,Garrison,Crow Wing,,
134,Jack Pine,18002300,Pine Center,Crow Wing,,
20,Bassett,18002600,Garrison,Crow Wing,,
309,Sunfish,18002700,Garrison,Crow Wing,,
295,Smith,18002800,Garrison,Crow Wing,,
118,Holt,18002900,Garrison,Crow Wing,,
10,Barbour,18003000,Garrison,Crow Wing,,
166,Long,18003100,Pine Center,Crow Wing,,
276,Round,18003200,Nichols,Crow Wing,,
288,Scott,18003300,Garrison,Crow Wing,,
22,Bay,18003400,Deerwood (Crow Wing),Crow Wing,,
144,Knieff,18003500,White Hawk,Crow Wing,,
12,Bass,18003600,Bay Lake,Crow Wing,,
45,Clearwater,18003800,Deerwood (Crow Wing),Crow Wing,,
49,Coffee,18003900,White Hawk,Crow Wing,,
52,Crooked,18004100,Garrison,Crow Wing,,
54,Crooked (Sugar Bay),18004101,,Crow Wing,,
53,Crooked (Main Bay),18004102,,Crow Wing,,
119,Horseshoe,18004300,Bay Lake,Crow Wing,,
110,Hanks,18004400,Garrison,Crow Wing,,
192,Maple,18004500,Bay Lake,Crow Wing,,
245,Pine,18004600,Bay Lake,Crow Wing,,
317,Turtle,18004700,Nichols,Crow Wing,,
231,Partridge,18004800,Nichols,Crow Wing,,
390,Wilson,18004900,Nichols,Crow Wing,,
251,Portage,18005000,Garrison,Crow Wing,,
264,Rice,18005300,Garrison,Crow Wing,,
326,Unnamed,18005500,Nichols,Crow Wing,,
64,Dogfish,18005800,Deerwood (Crow Wing),Crow Wing,,
26,Black,18005900,Deerwood (Crow Wing),Crow Wing,,
1,Agate,18006000,Cuyuna,Crow Wing,,
39,Cascade,18006100,Deerwood (Crow Wing),Crow Wing,,
147,Larson,18006200,Deerwood (Crow Wing),Crow Wing,,
327,Unnamed,18006300,Deerwood (Crow Wing),Crow Wing,,
137,Jim,18006400,Deerwood (Crow Wing),Crow Wing,,
5,Ann,18006500,Deerwood (Crow Wing),Crow Wing,,
328,Unnamed,18006600,Deerwood (Crow Wing),Crow Wing,,
263,Reno,18006700,Deerwood (Crow Wing),Crow Wing,,
265,Rice,18006800,Oreland,Crow Wing,,
252,Portage,18006900,Deerwood (Crow Wing),Crow Wing,,
109,Hamlet,18007000,Deerwood (Crow Wing),Crow Wing,,
292,Shirt,18007200,Deerwood (Crow Wing),Crow Wing,,
329,Unnamed,18007400,Bay Lake,Crow Wing,,
154,Little Hamlet,18007500,Bay Lake,Crow Wing,,
247,Placid,18007600,Bay Lake,Crow Wing,,
241,Peterson,18007900,Bay Lake,Crow Wing,,
7,Arbor,18008000,White Hawk,Crow Wing,,
282,Rushmeyer,18008200,Deerwood (Crow Wing),Crow Wing,,
37,Carlson,18008300,Cuyuna,Crow Wing,,
40,Casey,18008700,Cuyuna,Crow Wing,,
248,Platte,18008800,Sullivan,Crow Wing,,
391,Wilson,18008900,Garrison,Crow Wing,,
290,Serpent,18009000,Crosby,Crow Wing,,
226,Olander,18009100,Oreland,Crow Wing,,
256,Rabbit,18009300,,Crow Wing,,
257,Rabbit (East Portion),18009301,Cuyuna,Crow Wing,,
258,Rabbit (West Portion),18009302,Cuyuna,Crow Wing,,
146,Lake Cuyuna,18009400,Cuyuna,Crow Wing,,
41,Chrysler,18009500,Garrison,Crow Wing,,
379,Upper South Long,18009600,Brainerd,Crow Wing,,
68,Eagle,18009900,Klondyke,Crow Wing,,
111,Happy,18010100,Loerch,Crow Wing,,
330,Unnamed,18010200,Klondyke,Crow Wing,,
221,Nokay,18010400,Brainerd,Crow Wing,,
250,Pointon,18010500,Ironton,Crow Wing,,
324,Twin Island,18010600,Woodrow,Crow Wing,,
63,Dog,18010700,Woodrow,Crow Wing,,
34,Butternut,18010800,Bay Lake,Crow Wing,,
103,Grave,18011000,Brainerd,Crow Wing,,
170,Loon,18011100,Crosby,Crow Wing,,
393,Wolf,18011200,Klondyke,Crow Wing,,
232,Pascoe,18011400,Trommald,Crow Wing,,
253,Portage,18011500,Riverton,Crow Wing,,
139,June,18011600,Trommald,Crow Wing,,
28,Black Hoof,18011700,Ironton,Crow Wing,,
152,Little Black Hoof,18011800,Riverton,Crow Wing,,
272,Roe Mine,18011900,Riverton,Crow Wing,,
113,Hay,18012000,Riverton,Crow Wing,,
266,Rice,18012100,Klondyke,Crow Wing,,
274,Rose,18012200,Klondyke,Crow Wing,,
169,Lookout,18012300,Crosby,Crow Wing,,
143,Klondyke,18012400,Klondyke,Crow Wing,,
183,Mahnomen,18012600,Trommald,Crow Wing,,
74,East Mahnomen,18012601,,Crow Wing,,
200,Middle Mahnomen,18012602,,Crow Wing,,
50,Cole,18012700,Manganese,Crow Wing,,
126,Hunter,18012800,Manganese,Crow Wing,,
129,Island,18012900,Trommald,Crow Wing,,
202,Milford,18013000,Wolford,Crow Wing,,
46,Clinker,18013100,Crosby,Crow Wing,,
204,Miller,18013300,Trommald,Crow Wing,,
259,Rassett,18013400,Manganese,Crow Wing,,
316,Turner,18013500,Crosby,Crow Wing,,
299,South Long,18013600,Brainerd,Crow Wing,,
211,Mud,18013700,Woodrow,Crow Wing,,
301,Spruce,18013800,Riverton,Crow Wing,,
162,Little Rabbit,18013900,Riverton,Crow Wing,,
27,Black Bear,18014000,Trommald,Crow Wing,,
283,Russell,18014200,Brainerd,Crow Wing,,
120,Horseshoe,18014400,Loerch,Crow Wing,,
267,Rice,18014500,Brainerd,Crow Wing,,
331,Unnamed,18014600,Loerch,Crow Wing,,
277,Round,18014700,Saint Mathias,Crow Wing,,
319,Twin,18014800,Saint Mathias,Crow Wing,,
383,West Twin,18014801,,Crow Wing,,
75,East Twin,18014802,,Crow Wing,,
212,Mud,18015100,Fort Ripley,Crow Wing,,
332,Unnamed,18015400,Barrows,Crow Wing,,
59,Crow Wing,18015500,Fort Ripley,Crow Wing,,
333,Unnamed,18015900,Lennox,Crow Wing,,
289,Sebie,18016100,Fort Ripley,Crow Wing,,
312,Terry,18016200,Pine Knoll,Crow Wing,,
308,Sullivan,18016300,Pine Knoll,Crow Wing,,
218,Nelson,18016400,Pine Knoll,Crow Wing,,
275,Ross,18016500,Little Pine,Crow Wing,,
213,Mud,18016600,Emily,Crow Wing,,
320,Twin,18016700,Little Pine,Crow Wing,,
323,Twin (West Basin),18016701,,Crow Wing,,
322,Twin (East Basin),18016702,,Crow Wing,,
304,Stark,18016900,Pine Knoll,Crow Wing,,
376,Upper Dean,18017000,Emily,Crow Wing,,
313,Thompson,18017200,Pine Knoll,Crow Wing,,
25,Birchdale,18017500,Little Pine,Crow Wing,,
160,Little Pine,18017600,Little Pine,Crow Wing,,
66,Duck,18017800,Little Pine,Crow Wing,,
180,Lows,18018000,Little Pine,Crow Wing,,
176,Lower Dean,18018100,Wolford,Crow Wing,,
130,Island,18018300,Emily,Crow Wing,,
273,Rogers,18018400,Emily,Crow Wing,,
194,Mary,18018500,Emily,Crow Wing,,
240,Perry,18018600,Mission,Crow Wing,,
128,Indian Jack,18019000,Wolford,Crow Wing,,
13,Bass,18019100,Wolford,Crow Wing,,
65,Dolney,18019500,Emily,Crow Wing,,
302,Square,18019600,Emily,Crow Wing,,
334,Unnamed,18019700,Emily,Crow Wing,,
214,Mud,18019800,Emily,Crow Wing,,
149,Little Bass,18019900,Emily,Crow Wing,,
242,Pickerel,18020000,Emily,Crow Wing,,
79,Eastham,18020200,Emily,Crow Wing,,
82,Emily,18020300,Emily,Crow Wing,,
62,Dahler,18020400,Emily,Crow Wing,,
243,Pickerel,18020500,Emily,Crow Wing,,
230,Papoose,18020600,Outing,Crow Wing,,
153,Little Emily,18020700,Outing,Crow Wing,,
3,Allen,18020800,Outing,Crow Wing,,
255,Pug Hole,18020900,Outing,Crow Wing,,
29,Blue,18021100,Emily,Crow Wing,,
285,Ruth,18021200,Emily,Crow Wing,,
6,Anna,18021300,Emily,Crow Wing,,
315,Trout,18021800,Emily,Crow Wing,,
296,Smokey Hollow,18022000,Outing,Crow Wing,,
78,East Wood,18022100,Outing,Crow Wing,,
394,Wood,18022200,Outing,Crow Wing,,
99,Goggle,18022300,Mission,Crow Wing,,
91,Fool,18022400,Mission,Crow Wing,,
0,Adney,18022500,Cross Lake,Crow Wing,,
100,Goodrich,18022600,Cross Lake,Crow Wing,,
223,O'Brien,18022700,Cross Lake,Crow Wing,,
225,O'Brien (Southwest Bay),18022701,,Crow Wing,,
224,O'Brien (Northeast Bay),18022702,,Crow Wing,,
335,Unnamed,18022800,Cross Lake,Crow Wing,,
14,Bass,18022900,Mission,Crow Wing,,
101,Grass,18023000,Fifty Lakes,Crow Wing,,
33,Butterfield,18023100,Fifty Lakes,Crow Wing,,
104,Green,18023300,Merrifield,Crow Wing,,
121,Horseshoe,18023400,Merrifield,Crow Wing,,
311,Taylor,18023600,Merrifield,Crow Wing,,
84,Faupel,18023700,Trommald,Crow Wing,,
108,Half Moon,18023800,Trommald,Crow Wing,,
294,Silver,18023900,Merrifield,Crow Wing,,
86,Fawn,18024000,Riverton,Crow Wing,,
300,Spider,18024100,Merrifield,Crow Wing,,
378,Upper Mission,18024200,Merrifield,Crow Wing,,
178,Lower Mission,18024300,Merrifield,Crow Wing,,
105,Greenwood,18024600,Mission,Crow Wing,,
90,Flanders,18024700,Mission,Crow Wing,,
336,Unnamed,18024900,Mission,Crow Wing,,
337,Unnamed,18025000,Mission,Crow Wing,,
122,Horseshoe,18025100,Cross Lake,Crow Wing,,
123,Horseshoe (East Bay),18025101,,Crow Wing,,
124,Horseshoe (West Bay),18025102,,Crow Wing,,
396,Young,18025200,Ossipee,Crow Wing,,
150,Little Bass,18025400,Mission,Crow Wing,,
15,Bass,18025600,Merrifield,Crow Wing,,
76,East Twin,18025700,Mission,Crow Wing,,
384,West Twin,18025800,Mission,Crow Wing,,
30,Bonnie,18025900,Merrifield,Crow Wing,,
246,Pine,18026100,Cross Lake,Crow Wing,,
51,Command,18026500,Fifty Lakes,Crow Wing,,
161,Little Pine,18026600,Cross Lake,Crow Wing,,
196,McClain,18026700,Manhattan Beach,Crow Wing,,
171,Loon,18026800,,Crow Wing,,
131,Island,18026900,Cross Lake,Crow Wing,,
115,Hen,18027000,,Crow Wing,,
61,Daggett,18027100,Cross Lake,Crow Wing,,
338,Unnamed,18027300,Fifty Lakes,Crow Wing,,
148,Lily Pad,18027500,Cross Lake,Crow Wing,,
233,Pecks Puddle,18027700,Cross Lake,Crow Wing,,
249,Pleasant,18027800,Cross Lake,Crow Wing,,
151,Little Beaver,18027900,Cross Lake,Crow Wing,,
314,Tiff,18028000,Cross Lake,Crow Wing,,
271,Rock,18028200,Cross Lake,Crow Wing,,
381,Velvet,18028400,Cross Lake,Crow Wing,,
106,Greer,18028700,Cross Lake,Crow Wing,,
229,Ox,18028800,Manhattan Beach,Crow Wing,,
140,Kego,18029300,Fifty Lakes,Crow Wing,,
205,Mitchell,18029400,Emily,Crow Wing,,
339,Unnamed,18029500,Fifty Lakes,Crow Wing,,
69,Eagle,18029600,Fifty Lakes,Crow Wing,,
71,Eagle (Main Bay),18029601,,Crow Wing,,
72,Eagle (West Bay),18029602,,Crow Wing,,
70,Eagle (East Bay),18029603,,Crow Wing,,
382,West Fox,18029700,Fifty Lakes,Crow Wing,,
73,East Fox,18029800,Fifty Lakes,Crow Wing,,
287,Sand,18029900,Fifty Lakes,Crow Wing,,
188,Mallard,18030000,Fifty Lakes,Crow Wing,,
198,Meyer,18030100,Manhattan Beach,Crow Wing,,
158,Little Ox,18030200,Manhattan Beach,Crow Wing,,
238,Perch,18030400,Merrifield,Crow Wing,,
81,Edward,18030500,Merrifield,Crow Wing,,
16,Bass,18030600,Merrifield,Crow Wing,,
36,Campbell,18030700,Merrifield,Crow Wing,,
234,Pelican,18030800,Breezy Point,Crow Wing,,
235,Pelican (NE Bay),18030801,,Crow Wing,,
236,Pelican (main lake),18030802,,Crow Wing,,
87,Fawn,18030900,Cross Lake,Crow Wing,,
389,Whitefish,18031000,Cross Lake,Crow Wing,,
280,Rush,18031100,Cross Lake,Crow Wing,,
55,Cross Lake Reservoir,18031200,Cross Lake,Crow Wing,,
56,Cross Lake Reservoir (Main Basin),18031201,,Crow Wing,,
57,Cross Lake Reservoir (Southeast Bay),18031202,,Crow Wing,,
58,Cross Lake Reservoir (Unnamed Bay),18031203,,Crow Wing,,
67,Duck,18031400,Cross Lake,Crow Wing,,
24,Big Trout,18031500,Manhattan Beach,Crow Wing,,
310,Tamarack,18031800,Legionville,Crow Wing,,
392,Wise,18031900,Legionville,Crow Wing,,
94,Gilbert,18032000,Brainerd,Crow Wing,,
95,Gilbert (East Bay),18032001,,Crow Wing,,
97,Gilbert (West Bay),18032002,,Crow Wing,,
96,Gilbert (South Bay),18032003,,Crow Wing,,
215,Mud,18032100,Brainerd,Crow Wing,,
340,Unnamed,18032200,Brainerd,Crow Wing,,
298,Sorenson,18032300,Merrifield,Crow Wing,,
156,Little Markee,18032400,Lake Hubert,Crow Wing,,
305,Stevens,18032500,Lake Hubert,Crow Wing,,
216,Mud,18032600,Lake Hubert,Crow Wing,,
268,Rice,18032700,Lake Hubert,Crow Wing,,
138,Johnson,18032800,Lake Hubert,Crow Wing,,
93,Garden,18032900,Lake Hubert,Crow Wing,,
341,Unnamed,18033000,Lake Hubert,Crow Wing,,
342,Unnamed,18033100,Lake Hubert,Crow Wing,,
107,Guida,18033200,Lake Hubert,Crow Wing,,
343,Unnamed,18033300,Lake Hubert,Crow Wing,,
189,Mallard,18033400,Lake Hubert,Crow Wing,,
207,Mollie,18033500,Merrifield,Crow Wing,,
321,Twin,18033600,Merrifield,Crow Wing,,
344,Unnamed,18033700,Merrifield,Crow Wing,,
98,Gladstone,18033800,Nisswa,Crow Wing,,
208,Moody,18033900,Lake Hubert,Crow Wing,,
155,Little Hubert,18034000,Lake Hubert,Crow Wing,,
60,Crystal,18034100,Merrifield,Crow Wing,,
172,Lougee,18034200,Mission,Crow Wing,,
193,Markee,18034300,Lake Hubert,Crow Wing,,
260,Rat,18034400,Breezy Point,Crow Wing,,
345,Unnamed,18034600,Breezy Point,Crow Wing,,
182,Lynch,18034700,Breezy Point,Crow Wing,,
291,Shaffer,18034800,Breezy Point,Crow Wing,,
346,Unnamed,18034900,Breezy Point,Crow Wing,,
347,Unnamed,18035000,Breezy Point,Crow Wing,,
159,Little Pelican,18035100,Breezy Point,Crow Wing,,
227,Ossawinnamakee,18035200,Ideal Corners,Crow Wing,,
244,Pig,18035400,Cross Lake,Crow Wing,,
23,Bertha,18035500,Jenkins,Crow Wing,,
42,Clamshell,18035600,Jenkins,Crow Wing,,
163,Little Round,18035700,Cross Lake,Crow Wing,,
17,Bass,18035800,Jenkins,Crow Wing,,
303,Star,18035900,Cross Lake,Crow Wing,,
164,Little Star,18036000,Cross Lake,Crow Wing,,
142,Kimball,18036100,Jenkins,Crow Wing,,
102,Grass,18036200,Breezy Point,Crow Wing,,
307,Strawberry,18036300,Breezy Point,Crow Wing,,
44,Clear,18036400,Jenkins,Crow Wing,,
132,Island,18036500,Breezy Point,Crow Wing,,
9,Arrowhead,18036600,Manhattan Beach,Crow Wing,,
306,Stewart,18036700,Swanburg,Crow Wing,,
239,Perch,18037100,Baxter,Crow Wing,,
222,North Long,18037200,Merrifield,Crow Wing,,
278,Round,18037300,Nisswa,Crow Wing,,
43,Clark,18037400,Nisswa,Crow Wing,,
125,Hubert,18037500,Nisswa,Crow Wing,,
375,Upper Cullen,18037600,Breezy Point,Crow Wing,,
199,Middle Cullen,18037700,Nisswa,Crow Wing,,
177,Lower Hay,18037800,Jenkins,Crow Wing,,
387,White Sand,18037900,Baxter,Crow Wing,,
348,Unnamed,18038000,Baxter,Crow Wing,,
281,Rush,18038100,Baxter,Crow Wing,,
349,Unnamed,18038200,Baxter,Crow Wing,,
133,Island,18038300,Baxter,Crow Wing,,
18,Bass,18038400,Crow Wing,Crow Wing,,
350,Unnamed,18038500,Crow Wing,Crow Wing,,
262,Red Sand,18038600,Brainerd,Crow Wing,,
386,Whipple,18038700,Baxter,Crow Wing,,
380,Upper Whipple,18038701,,Crow Wing,,
201,Middle Whipple,18038702,,Crow Wing,,
179,Lower Whipple,18038703,,Crow Wing,,
174,Love,18038800,Nisswa,Crow Wing,,
206,Moburg,18038900,East Gull Lake,Crow Wing,,
351,Unnamed,18039000,East Gull Lake,Crow Wing,,
217,Mud,18039100,East Gull Lake,Crow Wing,,
112,Hartley,18039200,East Gull Lake,Crow Wing,,
352,Unnamed,18039300,East Gull Lake,Crow Wing,,
135,Jacks,18039400,Baxter,Crow Wing,,
38,Carlson,18039500,Baxter,Crow Wing,,
80,Edna,18039600,Nisswa,Crow Wing,,
88,Fawn,18039700,Nisswa,Crow Wing,,
279,Roy,18039800,Nisswa,Crow Wing,,
220,Nisswa,18039900,Nisswa,Crow Wing,,
89,Fish Trap,18040000,Lake Hubert,Crow Wing,,
117,Hole-in-the-Day,18040100,Lake Hubert,Crow Wing,,
19,Bass,18040200,Lake Hubert,Crow Wing,,
175,Lower Cullen,18040300,Nisswa,Crow Wing,,
293,Sibley,18040400,Pequot Lakes,Crow Wing,,
269,Rice,18040500,Pequot Lakes,Crow Wing,,
77,East Twin,18040700,Nisswa,Crow Wing,,
195,Mayo,18040800,Pequot Lakes,Crow Wing,,
385,West Twin,18040900,Nisswa,Crow Wing,,
261,Rat,18041000,Jenkins,Crow Wing,,
219,Nelson,18041100,Jenkins,Crow Wing,,
377,Upper Hay,18041200,Jenkins,Crow Wing,,
353,Unnamed,18041300,Chickamaw Beach,Crow Wing,,
47,Clough,18041400,Chickamaw Beach,Crow Wing,,
136,Jail,18041500,Pine River,Crow Wing,,
165,Lizzie,18041600,Pontoria,Crow Wing,,
354,Unnamed,18041800,Trommald,Crow Wing,,
355,Unnamed,18042200,Pine Center,Crow Wing,,
356,Unnamed,18042400,Garrison,Crow Wing,,
357,Unnamed,18042800,Little Pine,Crow Wing,,
358,Unnamed,18043000,Oreland,Crow Wing,,
359,Unnamed,18043300,Deerwood (Crow Wing),Crow Wing,,
395,Yawkey Mine,18043400,Crosby,Crow Wing,,
191,Manuel Mine,18043500,Crosby,Crow Wing,,
254,Portsmouth Mine,18043700,Armour Number Two Mine,Crow Wing,,
237,Pennington Mine,18043900,Ironton,Crow Wing,,
187,"Mahnomen, Alstead & Arco",18044000,Armour Number Two Mine,Crow Wing,,
184,Mahnomen Mine #1,18044001,,Crow Wing,,
185,Mahnomen Mine #2,18044002,,Crow Wing,,
186,Mahnomen Mine #3,18044003,,Crow Wing,,
173,Louise Mine,18044004,,Crow Wing,,
4,Alstead Mine,18044006,,Crow Wing,,
8,Arco Mine,18044007,,Crow Wing,,
127,Huntington Mine,18044100,Crosby,Crow Wing,,
114,Hay,18044400,Loerch,Crow Wing,,
157,Little Menomin,18044800,Merrifield,Crow Wing,,
116,Hogsback,18047600,Garrison,Crow Wing,,
85,Fawcett,18047900,Garrison,Crow Wing,,
284,Russell,18048700,,Crow Wing,,
167,Long,18050100,Deerwood (Crow Wing),Crow Wing,,
360,Unnamed,18050400,Crosby Beach,Crow Wing,,
361,Unnamed,18051000,Deerwood (Crow Wing),Crow Wing,,
209,Morroco Mine,18052000,Trommald,Crow Wing,,
286,Sagamore Mine,18052300,Riverton,Crow Wing,,
297,Snoshoe Mine,18052400,Riverton,Crow Wing,,
362,Unnamed,18052700,Loerch,Crow Wing,,
363,Unnamed,18052800,,Crow Wing,,
364,Unnamed,18054400,East Gull Lake,Crow Wing,,
365,Unnamed,18055500,Merrifield,Crow Wing,,
366,Unnamed,18055700,Legionville,Crow Wing,,
367,Unnamed,18059300,Breezy Point,Crow Wing,,
92,Four Acre,18062600,Manhattan Beach,Crow Wing,,
368,Unnamed,18065200,Cross Lake,Crow Wing,,
181,Lund,18065700,,Crow Wing,,
369,Unnamed,18066300,Bay Lake,Crow Wing,,
370,Unnamed,18066700,Trommald,Crow Wing,,
190,Mallen Pit,18074000,Riverton,Crow Wing,,
2,Airport Pond,18074100,Loerch,Crow Wing,,
197,McCollister Pond,18074200,Fifty Lakes,Crow Wing,,
371,Unnamed,18074800,Breezy Point,Crow Wing,,
21,Baxter City Hall Pond,18074900,,Crow Wing,,
228,Owl Pond,18075400,,Crow Wing,,
372,Unnamed,18075600,,Crow Wing,,
373,Unnamed,18075700,,Crow Wing,,
374,Unnamed,18075800,,Crow Wing,,
48,Clover Hill (Survey 0204),18075900,Saint Mathias,Crow Wing,,
71,Unnamed,19000200,Etter,Dakota,,
58,Rebecca,19000300,Hastings,Dakota,,
29,Isabelle,19000400,Hastings,Dakota,,
70,U.S. Lock & Dam #2 Pool,19000500,Saint Paul Park,Dakota,,
64,Spring,19000501,Hastings,Dakota,,
59,River,19000502,Pine Bend (Dakota),Dakota,,
50,Mooers,19000503,Pine Bend (Dakota),Dakota,,
3,Baldwin,19000504,Cottage Grove,Dakota,,
22,Grey Cloud Slough,19000505,Langdon,Dakota,,
8,Byllesby,19000600,Cannon Falls,Dakota,,
72,Unnamed,19000800,Rosemount,Dakota,,
31,Kegan,19001100,Rosemount,Dakota,,
73,Unnamed,19001200,Rosemount,Dakota,,
11,Chub,19002000,Eureka Center,Dakota,,
0,Alimagnet,19002100,Apple Valley,Dakota,,
38,Long,19002200,Rosemount,Dakota,,
18,Farquar,19002300,Apple Valley,Dakota,,
167,Wood Park,19002400,Burnsville,Dakota,,
32,Keller,19002500,Apple Valley,Dakota,,
44,Marion,19002600,Lakeville,Dakota,,
45,Marion (East Bay),19002601,,Dakota,,
46,Marion (Middle Bay),19002602,,Dakota,,
47,Marion (West Bay),19002603,,Dakota,,
14,Crystal,19002700,Lakeville,Dakota,,
69,Twin,19002800,Orchard Garden,Dakota,,
51,North Twin,19002801,,Dakota,,
63,South Twin,19002802,,Dakota,,
35,Lee,19002900,Orchard Garden,Dakota,,
33,Kingsley,19003000,Deer Park,Dakota,,
53,Orchard,19003100,Lakeville,Dakota,,
27,Horseshoe,19003200,Orchard Garden,Dakota,,
16,Earley,19003300,Orchard Garden,Dakota,,
74,Unnamed,19003400,Inver Grove Heights,Dakota,,
75,Unnamed,19003600,Sunfish Lake,Dakota,,
76,Unnamed,19003700,Inver Grove Heights,Dakota,,
77,Unnamed,19003800,Inver Grove Heights,Dakota,,
40,Marcott,19003900,Wescott,Dakota,,
41,Marcott,19004000,Wescott,Dakota,,
42,Marcott,19004100,Wescott,Dakota,,
43,Marcott,19004200,Wescott,Dakota,,
78,Unnamed,19004500,,Dakota,,
15,Dickman,19004600,Sunfish Lake,Dakota,,
26,Hornbeam,19004700,Sunfish Lake,Dakota,,
68,Thompson,19004800,West Saint Paul,Dakota,,
79,Unnamed,19004900,Sunfish Lake,Dakota,,
65,Sunfish,19005000,Sunfish Lake,Dakota,,
28,Horseshoe,19005100,Sunfish Lake,Dakota,,
61,Schmitt,19005200,Sunfish Lake,Dakota,,
80,Unnamed,19005300,Wescott,Dakota,,
81,Unnamed,19005400,Sunfish Lake,Dakota,,
36,Lemay,19005500,Eagan,Dakota,,
19,Fish,19005700,Eagan,Dakota,,
5,Blackhawk,19005900,Eagan,Dakota,,
48,McCarthy,19006000,Eagan,Dakota,,
2,Bald,19006100,Wescott,Dakota,,
82,Unnamed,19006200,Wescott,Dakota,,
83,Unnamed,19006300,Wescott,Dakota,,
84,Unnamed,19006400,Wescott,Dakota,,
25,Holland,19006500,Eagan,Dakota,,
9,Carlson,19006600,Eagan,Dakota,,
67,Thomas,19006700,Eagan,Dakota,,
55,Pitts,19006800,Cedar Grove,Dakota,,
20,Gerhardt,19006900,Eagan,Dakota,,
85,Unnamed,19007000,Eagan,Dakota,,
30,Jensen,19007100,Eagan,Dakota,,
52,O'Brien,19007200,Eagan,Dakota,,
86,Unnamed,19007300,Eagan,Dakota,,
