,Name,ID,Nearest Town,County,,
113,Rat,1007700,Palisade,Aitkin,,
20,Brown,1007800,Libby,Aitkin,,
75,Libby,1008000,Libby,Aitkin,,
153,Townline,1008300,Palisade,Aitkin,,
157,Twenty,1008500,Malmo,Aitkin,,
38,Deer,1008600,Malmo,Aitkin,,
145,Sugar,1008700,Glen,Aitkin,,
76,Lily,1008800,Thor,Aitkin,,
88,Long,1008900,Glen,Aitkin,,
111,Rabbit,1009100,Glen,Aitkin,,
147,Swamp,1009200,Glen,Aitkin,,
33,Clear,1009300,Glen,Aitkin,,
158,Unnamed,1009500,Glen,Aitkin,,
35,Dam,1009600,Aitkin,Aitkin,,
101,Newstrom,1009700,Kimberly,Aitkin,,
23,Camp,1009800,Kimberly,Aitkin,,
54,Gun,1009900,Palisade,Aitkin,,
68,Jenkins,1010000,Palisade,Aitkin,,
89,Long,1010100,Palisade,Aitkin,,
182,Wilkins,1010200,Palisade,Aitkin,,
51,French,1010400,Palisade,Aitkin,,
46,Fleming,1010500,Palisade,Aitkin,,
115,Red,1010700,Palisade,Aitkin,,
74,Langs,1010800,Hill City,Aitkin,,
149,Taylor,1010900,Hill City,Aitkin,,
144,Studhorse,1011000,Hill City,Aitkin,,
178,Washburn,1011100,Hill City,Aitkin,,
156,Turtle,1011300,Glory,Aitkin,,
151,Thirty-One,1011400,Glen,Aitkin,,
130,Section Ten,1011500,Aitkin,Aitkin,,
49,Four,1011600,Aitkin,Aitkin,,
102,Nord,1011700,Aitkin,Aitkin,,
112,Raspberry,1011800,Aitkin,Aitkin,,
131,Section Twelve,1012000,Rossburg,Aitkin,,
77,Linde,1012100,Glory,Aitkin,,
148,Sweetman,1012200,Glory,Aitkin,,
43,Elm Island,1012300,Aitkin,Aitkin,,
86,Lone,1012500,Aitkin,Aitkin,,
95,Monson,1012600,Glory,Aitkin,,
129,Section 25,1012700,Glory,Aitkin,,
78,Lingroth,1012800,Glory,Aitkin,,
135,Sissabagamah,1012900,Aitkin,Aitkin,,
70,Johnson,1013100,Rossburg,Aitkin,,
57,Hanson,1013200,Aitkin,Aitkin,,
136,Sitas,1013400,Waukenabo,Aitkin,,
179,Waukenabo,1013600,Palisade,Aitkin,,
123,Round,1013700,Aitkin,Aitkin,,
96,Moose,1014000,Haypoint,Aitkin,,
110,Previs,1014100,Hill City,Aitkin,,
60,Hill,1014200,Hill City,Aitkin,,
62,Hill (North Basin),1014201,,Aitkin,,
63,Hill (South Basin),1014202,,Aitkin,,
10,Bible,1014400,Hill City,Aitkin,,
32,Chamberlin,1014500,Hill City,Aitkin,,
119,Ripple,1014600,Aitkin,Aitkin,,
44,Esquagamah,1014700,Palisade,Aitkin,,
181,White Elk,1014800,Bain,Aitkin,,
91,Mallard,1014900,Bennettville,Aitkin,,
84,Little Spruce,1015000,White Hawk,Aitkin,,
66,Horseshoe,1015400,Bennettville,Aitkin,,
24,Camp,1015500,Bennettville,Aitkin,,
138,Spectacle,1015600,White Hawk,Aitkin,,
11,Big Pine,1015700,Cutler,Aitkin,,
53,Gregg,1015800,Bennettville,Aitkin,,
45,Farm Island,1015900,Bennettville,Aitkin,,
55,Hammal,1016100,Aitkin,Aitkin,,
50,Four,1016200,Aitkin,Aitkin,,
150,Taylor,1016300,Aitkin,Aitkin,,
14,Black Shadow,1016500,Aitkin,Aitkin,,
26,Carlson,1016600,Aitkin,Aitkin,,
106,Pine Island,1016700,Aitkin,Aitkin,,
61,Hill,1016800,Aitkin,Aitkin,,
2,Bachelor,1016900,Aitkin,Aitkin,,
56,Hanging Kettle,1017000,Aitkin,Aitkin,,
39,Diamond,1017100,Aitkin,Aitkin,,
73,Landgren,1017200,Aitkin,Aitkin,,
152,Thornton,1017400,Deerwood (Crow Wing),Aitkin,,
42,Dummer,1017500,Bennettville,Aitkin,,
83,Little Pine,1017600,Aitkin,Aitkin,,
139,Spirit,1017800,Bennettville,Aitkin,,
59,Hickory,1017900,Aitkin,Aitkin,,
17,Blue,1018100,Aitkin,Aitkin,,
104,Pickerel,1018200,Aitkin,Aitkin,,
6,Bass,1018300,Aitkin,Aitkin,,
107,Poor Farm,1018400,Aitkin,Aitkin,,
40,Dogfish,1018500,Aitkin,Aitkin,,
16,Blind,1018800,Pine Knoll,Aitkin,,
